ID,Email Address,first name,last name,grade point average,Gender,major,birthday,language,national code,Disciplinary case,passed course unit,enterning year
1,Isabel_York156586436@c2nyu.works,Isabel,York,18.4,Female,Work Under Pressure,6/2/1380,Sundanese,17391404,FALSE,40,1399
2,Sienna_Duvall908637957@bcfhs.meet,Sienna,Duvall,18.04,Female,Learning,1/20/1383,Portuguese,17108911,TRUE,17,1399
3,Julian_Talbot905290229@xtwt3.store,Julian,Talbot,12.69,Male,Time Management,9/19/1377,Nepali,14049809,FALSE,136,1397
4,Nicholas_Lane533246088@ds59r.app,Nicholas,Lane,15.35,Male,Self-motivation,9/26/1377,Somali,11356421,TRUE,90,1398
5,Daphne_Faulkner129131798@nanoff.pro,Daphne,Faulkner,13.13,Female,Leadership,12/29/1379,Tamil,16920566,FALSE,37,1399
6,Brad_Uttridge1947916448@uagvw.us,Brad,Uttridge,14.93,Male,Self-motivation,12/2/1377,Chittagonian,19899232,TRUE,78,1398
7,Carter_Dillon45688829@qu9ml.info,Carter,Dillon,17.44,Male,Adaptability,5/8/1380,Bengali,19672632,TRUE,50,1398
8,Carolyn_Brennan849452089@cdpfn.mobi,Carolyn,Brennan,14.91,Female,Communication,8/8/1383,Hindi,18933391,TRUE,30,1398
9,Johnathan_Stone 1432444600@crzq7.space,Johnathan,Stone ,17.57,Male,Communication,5/2/1384,Greek,17177169,FALSE,16,1399
10,Domenic_Dale634444699@ckzyi.site,Domenic,Dale,12.28,Male,Time Management,6/25/1380,Vietnamese,18294334,TRUE,69,1398
11,Emely_Rixon116681363@chkzl.autos,Emely,Rixon,13.58,Female,Leadership,4/14/1378,Belarusian,18852525,TRUE,109,1399
12,Rick_Dyson1321334998@bcfhs.com,Rick,Dyson,15.38,Male,Adaptability,5/24/1379,Nepali,11923320,FALSE,121,1398
13,Lauren_John1023873840@mpibr.app,Lauren,John,16.36,Female,Leadership,6/18/1382,Yoruba,17333319,TRUE,87,1401
14,Brad_Reynolds390936848@karnv.edu,Brad,Reynolds,15.32,Male,Leadership,2/11/1381,Dutch,15526251,FALSE,39,1397
15,Rosalyn_Gray926727976@nmz0p.biz,Rosalyn,Gray,16.18,Female,Time Management,9/18/1383,Wu,13479316,TRUE,9,1399
16,Melania_Hooper1787809246@chkzl.biz,Melania,Hooper,15.6,Female,Work Under Pressure,1/1/1381,Sundanese,16149983,FALSE,20,1401
17,Ronald_White770285790@yafr7.page,Ronald,White,13.69,Male,Adaptability,7/23/1383,Assamese,16833866,TRUE,22,1400
18,Brad_Barrett1239071724@zynuu.pro,Brad,Barrett,18.24,Male,Adaptability,2/3/1383,Chittagonian,13957914,TRUE,36,1399
19,Brad_White1032936938@cke3u.website,Brad,White,18.16,Male,Adaptability,3/17/1380,Japanese,12859635,FALSE,80,1399
20,Gabriel_Zaoui706183432@lyvnc.audio,Gabriel,Zaoui,15.05,Male,Decision Making,12/13/1378,Hungarian,15278433,TRUE,72,1400
21,Aleksandra_Powell376947139@bqkv0.info,Aleksandra,Powell,12.27,Female,Self-motivation,12/16/1383,Wu,17457414,TRUE,24,1401
22,Alexander_Ingram1170560759@bqkv0.tech,Alexander,Ingram,18.92,Male,Communication,10/3/1382,Japanese,16658375,TRUE,74,1401
23,Penelope_Fowler802718282@gnjps.edu,Penelope,Fowler,13.54,Female,Learning,7/8/1380,Pashto,19603472,FALSE,10,1399
24,Jamie_Cavanagh647865819@avn7d.catering,Jamie,Cavanagh,17.57,Female,Leadership,9/19/1383,Italian,14137080,FALSE,109,1399
25,Liv_Ellison318168812@mpibr.net,Liv,Ellison,15.66,Female,Self-motivation,6/6/1384,Punjabi,12273011,FALSE,127,1401
26,Hope_Rees2077039012@p5emz.online,Hope,Rees,17.09,Female,Decision Making,11/19/1379,English,11738597,TRUE,117,1398
27,Margaret_Dubois579065785@lhp4j.name,Margaret,Dubois,16.33,Female,Self-motivation,5/14/1382,Belarusian,11697289,TRUE,92,1397
28,Joseph_Trent1225907418@c2nyu.info,Joseph,Trent,14.63,Male,Conflict Resolution,1/28/1380,Belarusian,13646669,FALSE,115,1397
29,Doug_Plant125380807@ckzyi.edu,Doug,Plant,12.46,Male,Decision Making,8/6/1381,Arabic,10988192,FALSE,122,1397
30,Alba_Olivier803089643@cdpfn.zone,Alba,Olivier,17.14,Female,Self-motivation,10/16/1379,Hindi,14047202,TRUE,71,1400
31,Bart_Uttridge1589789549@ptr6k.info,Bart,Uttridge,18.6,Male,Teamwork,9/6/1378,Thai,16953481,FALSE,87,1399
32,Sarah_Kelly818608550@1kmd3.services,Sarah,Kelly,17.28,Female,Conflict Resolution,11/26/1381,Azerbaijani,17945317,FALSE,71,1398
33,Natalie_Pratt234057847@1wa8o.club,Natalie,Pratt,19.3,Female,Conflict Resolution,11/25/1382,Korean,14034066,FALSE,20,1400
34,Kirsten_Notman1958739655@qu9ml.host,Kirsten,Notman,14.78,Female,Time Management,6/19/1381,Portuguese,13582599,TRUE,108,1398
35,Elena_Brock1206812149@1wa8o.audio,Elena,Brock,19.01,Female,Communication,6/24/1383,Somali,18028669,FALSE,77,1398
36,Shay_Flanders980746390@cdpfn.website,Shay,Flanders,14.94,Female,Decision Making,3/24/1384,Assamese,19854358,FALSE,106,1398
37,John_Lyon1983792255@ptr6k.ca,John,Lyon,19.51,Male,Adaptability,7/28/1382,Yoruba,15115740,FALSE,92,1400
38,Doug_Gaynor1500770080@yahoo.edu,Doug,Gaynor,19.9,Male,Self-motivation,7/3/1380,Wu,16222456,TRUE,18,1398
39,Ronald_Johnson185065433@ag5wi.space,Ronald,Johnson,19.08,Male,Conflict Resolution,12/17/1383,Czech,19225972,TRUE,64,1399
40,Eryn_Brown1205077117@cke3u.host,Eryn,Brown,16.38,Female,Communication,11/28/1378,Yue,15270493,FALSE,96,1401
41,Harvey_Cann1000767221@iscmr.works,Harvey,Cann,18.43,Male,Communication,6/14/1384,Fula,12505075,TRUE,95,1399
42,Tony_Stewart1088542019@qu9ml.auction,Tony,Stewart,15.43,Male,Time Management,3/10/1379,Korean,12640391,FALSE,83,1401
43,Jayden_Russel1126694596@yafr7.digital,Jayden,Russel,19.2,Male,Adaptability,9/17/1382,Chittagonian,17391924,FALSE,71,1398
44,Julian_Kerr1821681796@xtwt3.tech,Julian,Kerr,13.52,Male,Work Under Pressure,9/14/1379,French,15277443,TRUE,86,1400
45,Sadie_Crawford1165316675@evyvh.center,Sadie,Crawford,12.6,Female,Teamwork,12/3/1383,Malaysian,13787556,TRUE,39,1399
46,Susan_Gregory1118714842@ohqqh.store,Susan,Gregory,12.11,Female,Decision Making,5/30/1384,Wu,10435170,FALSE,4,1397
47,Lana_Allington193206210@zynuu.page,Lana,Allington,19.39,Female,Leadership,11/17/1378,Italian,13721636,TRUE,53,1401
48,Fiona_Tyrrell643007147@gnjps.website,Fiona,Tyrrell,14.63,Female,Communication,8/12/1381,Nepali,14250905,TRUE,22,1400
49,Louise_Murphy1972734158@nanoff.business,Louise,Murphy,19.19,Female,Adaptability,2/22/1380,Serbo-Croatian,19131919,FALSE,133,1397
50,Doug_Summers2017226163@qu9ml.name,Doug,Summers,12.43,Male,Teamwork,10/19/1382,Belarusian,11364308,FALSE,136,1398
